Epoch,Loss
0,0.519639145
1,0.34632404
2,0.309661296
3,0.290523906
4,0.277781423
5,0.273435248
6,0.260478293
7,0.268545617
8,0.256734779
9,0.258339993
10,0.254511155
11,0.252918897
12,0.245516074
13,0.243288434
14,0.247630339
15,0.246496858
16,0.249209199
17,0.243881671
18,0.24800109
19,0.24624712
20,0.24083403
21,0.238844703
22,0.239422019
23,0.236818367
24,0.237323497
25,0.232206317
26,0.23286834
27,0.229944431
28,0.233505013
29,0.227748411
30,0.230177111
31,0.236042425
32,0.227115192
33,0.227760318
34,0.230444713
35,0.22746634
36,0.235961868
37,0.225446241
38,0.231389928
39,0.229504896
40,0.228020638
41,0.230118521
42,0.229845466
43,0.223368281
44,0.220606159
45,0.223816112
46,0.227103117
47,0.227418308
48,0.221660894
49,0.227839422
50,0.225640083
51,0.2279375
52,0.225104655
53,0.220974039
54,0.225719222
55,0.226114048
56,0.217217021
57,0.220513081
58,0.221014558
59,0.220091611
60,0.224684558
61,0.226566621
62,0.228405731
63,0.241625405
64,0.225818122
65,0.232894166
66,0.219383036
67,0.227462998
68,0.22984516
69,0.225801044
70,0.227503135
71,0.231324166
72,0.226297348
73,0.226702704
74,0.232022438
75,0.225095354
76,0.231394063
77,0.217430546
78,0.221626835
79,0.223418051
80,0.221363856
81,0.228065734
82,0.222684249
83,0.22416402
84,0.221622992
85,0.221784804
86,0.216009262
87,0.224178525
88,0.216656335
89,0.222709195
90,0.220438685
91,0.223335157
92,0.218899942
93,0.216646383
94,0.216799713
95,0.21874858
96,0.216565888
97,0.219685909
98,0.233252397
99,0.217557789
